node,original_id,lat,lon,degree,betweenness,community_id,adap_degree_frac,betweenness_frac,random_frac,seamless_mavg,adap_betweenness_frac,regression_residual
48,47,33.165722,-86.7618509,1,0.0,52,0.6353011578712981,0.6905060120240482,0.5380306446225785,0.6460686511912714,0.6956874860832777,-0.0024389605566416117
49,48,33.1537472,-86.303006,3,7.679084292653653e-05,52,0.7472943108439101,0.3182476063237586,0.5593862725450902,0.6141495143063908,0.4883195557782231,0.1735247062341137
50,49,35.6075521,-84.4518164,2,1.903086436689893e-05,58,0.7102184925406368,0.5793114005789357,0.5135796593186372,0.7304370198730796,0.6082501113337787,0.18576876031178324
51,50,36.8541179,-93.3110937,3,2.2082260340861275e-05,73,0.5493759741705634,0.5732854598085059,0.5416022322422623,0.462540636829214,0.4060632375862837,0.022073025129542734
52,51,34.590394,-78.9772244,3,3.528781479784254e-05,56,0.5811280895123581,0.4560509908706301,0.5034699955466488,0.4921511564796259,0.6882584613671788,0.05161774799370278
53,52,37.7732614,-82.0534517,3,0.0002107531968292,13,0.5627212758851036,0.135688042752171,0.5056329325317301,0.5611391324315298,0.4212022656423959,0.12018895909830601
54,53,35.5189362,-80.1450456,2,2.7833832022823745e-05,8,0.6021214651525273,0.5143063905588956,0.5130648797595191,0.5485969578044979,0.6139896459585839,0.0041979788944842555
55,54,47.071839,-101.1960428,2,0.0296396790660535,0,0.7252601035404141,0.0035487641950567,0.5048387051881541,0.7334597876308171,0.4365192885771543,0.10198889583627757
56,55,40.2541644,-74.1184663,7,0.0003993971510263,27,0.0168193331106657,0.0752059674905366,0.4651804998886663,0.0405313682921398,0.1387420674682699,0.015143947633317858
57,56,41.4650123,-94.6615923,3,0.0001415538685582,69,0.5786951681140058,0.1917167668670674,0.488688209752839,0.528870038688488,0.2667799487864618,0.08792083664855682
58,57,37.0299709,-76.3670871,5,7.244324928529202e-05,28,0.3236637163215319,0.3254703852148742,0.4758592184368737,0.2380559313070585,0.2280215987530617,0.005566455961758671
59,58,35.0026102,-85.6204512,1,0.0,63,0.729081774660432,0.6905199287463817,0.4936843130705856,0.710583110665776,0.721101508572701,0.062061290397475544
60,59,48.182207,-101.317476,3,5.561446405999788e-05,0,0.554186289245157,0.3988254286350479,0.4612178523714094,0.5809648115675795,0.674226926074371,0.14038146939339546
61,60,43.140608,-71.4700743,6,0.0001767480803028,19,0.0593691549766199,0.1595273881095524,0.4800878145179248,0.0766072840124693,0.1134697172122021,-0.05216142564406698
62,61,36.2276736,-83.8455931,1,0.0,58,0.7570243264306391,0.6905338454687152,0.454913298819862,0.7102092866288132,0.7094090959697172,0.06154278749097919
63,62,46.1050221,-98.9783208,3,3.230679058005301e-05,0,0.1510106323758628,0.4642201068804275,0.4677193275439769,0.1914662936985081,0.3651587898018258,-0.24904863712762282
64,63,42.1969899,-74.7438007,3,0.0002226386984468,5,0.48396028167446,0.1295507682030728,0.4832393954575819,0.5042212689267423,0.6015313961255845,0.06338270297365689
65,64,44.3124698,-73.2614565,2,5.5666889312660505e-05,53,0.5683981852594078,0.3864812959251837,0.4828875807169896,0.504804950178134,0.3584300545535515,-0.040081816150361105
66,65,34.8904489,-82.4373918,9,0.0033360226404015,65,0.0113848530394121,0.0143620574482297,0.4682142061901581,0.0321803607214428,0.0256570084613671,0.20648550273318717
67,66,30.1643072,-84.1997911,1,0.0,26,0.5985882876864842,0.6905477621910487,0.5101258071698953,0.6001560969160543,0.7236648296593187,-0.04852798912294731
68,67,37.0283843,-76.4296427,2,8.991823300178357e-05,28,0.5674128813181919,0.2761495212647517,0.519019984413271,0.57734458500334,0.7239043364506792,0.03264152444844581
69,68,27.9067869,-82.3990203,2,0.0001669571702022,44,0.7059381262525051,0.1706607659763972,0.4637427633043865,0.6899187332999331,0.7120957192162102,0.14486414526489644
70,69,47.3697147,-94.873049,3,2.8121430431308825e-05,0,0.2753468047205522,0.4831885994210643,0.5410767368069472,0.3214623135159208,0.4225218492540637,-0.11904033268085362
