node,adap_degree,betweenness,degree,random,seamless_mavg
118,0.5759364755995925,0.21307528474858783,0.031002870636170018,0.46530734327252526,0.585731725159737
119,0.49025928326696916,0.6137234929160107,0.031021390869524955,0.49846985832021484,0.5649564126307991
120,0.5310154643948514,0.284952310399111,0.21339012871562182,0.5357373830910269,0.492543605889434
121,0.1962540976016298,0.1837207148810075,0.013223446615427355,0.45047615519955553,0.5104645800537086
122,0.518956014445782,0.1945735716270025,0.21340864894897676,0.5274775442170572,0.4982820538938791
123,0.39626187609963887,0.38460968608204466,0.0792851189924993,0.5091764052227058,0.24172084452264095
124,0.4617036762663209,0.17579405500509307,0.2134271691823317,0.49952180757477543,0.441650791739976
125,0.5390782479859246,0.5561626076488564,0.21344568941568665,0.5035321789054542,0.4978453190110195
126,0.4788873043800352,0.5290489860172238,0.2134642096490416,0.49593221594592096,0.5150050560237058
127,0.18172386332067786,0.011019538846189463,0.031039911102879895,0.5039227706269099,0.18351822390962122
128,0.5341955736642282,0.5048430410223169,0.21348272988239653,0.5256414482822483,0.4879936753403092
129,0.47974719881470507,0.19312899342531717,0.21350125011575147,0.5135305120844523,0.49734099453653124
130,0.08083581813130845,0.011130660246319105,0.07930363922585425,0.5212664135568108,0.18234147606259837
131,0.77795147698861,0.9191221409389758,0.2135197703491064,0.5227015464394852,0.6695096212612279
132,0.4922394666172794,0.48347069173071583,0.21353829058246135,0.5293690156495972,0.5087921937216409
133,0.5279386980275952,0.4645615334753218,0.2135568108158163,0.5517892397444208,0.4988105194925456
134,0.5178896194092045,0.4485044911565886,0.21357533104917123,0.49392406704324476,0.5089803037318271
135,0.5490697286785814,0.5276229280488934,0.21359385128252617,0.4705463468839708,0.5029202889156403
136,0.31654375405130103,0.915362533567923,0.2136123715158811,0.5274440225946847,0.41310852856745994
137,0.7795927400685249,0.011149180479674043,0.21363089174923605,0.47660190758403553,0.7198057783128069
138,0.47920455597740536,0.5398092415964442,0.213649411982591,0.4972677099731457,0.5012499212890082
139,0.7749456431151033,0.011093619779609223,0.07932215945920919,0.4655982961385313,0.598527474766182
140,0.5050117603481804,0.4200018520233355,0.21366793221594593,0.4800127789610149,0.5259632928974904
141,0.033769608297064546,0.010704694879155478,0.031058431336234836,0.5084846745068988,0.06789521251967776
142,0.5167113621631633,0.5126215390313918,0.21368645244930087,0.47550884341142696,0.5083623113251227
143,0.7082285396796,0.39794425409760165,0.2137049726826558,0.5169812019631448,0.7028366330215763
144,0.43191517733123436,0.4085193073432725,0.21372349291601075,0.5171832577090472,0.4216878692471525
145,0.7332312251134364,0.01088989721270488,0.2137420131493657,0.48388202611352904,0.7162709602740994
146,0.39487359940735256,0.733327159922215,0.21376053338272064,0.5479914806926567,0.4145373645707937
147,0.7364313362348366,0.9488656357070099,0.9574034632836373,0.5300709324937495,0.7152032595610703
148,0.40087711825169,0.01087137697934994,0.21377905361607558,0.5409261968700806,0.385791647374757
149,0.530483378090564,0.1918140568571164,0.21379757384943052,0.4984598573942032,0.5117548754514305
150,0.5852690063894805,0.010852856745995,0.21381609408278546,0.4851749236040374,0.5887862394666172
151,0.3944224465228262,0.8742290952866006,0.2138346143161404,0.4748897120103713,0.407616279285119
152,0.7124670802852117,0.6806741364941198,0.21385313454949534,0.5431378831373276,0.6968873784609688
153,0.49697194184646726,0.43346606167237706,0.21387165478285028,0.47130586165385685,0.49821217705343085
154,0.5446635799611075,0.5011760348180387,0.21389017501620522,0.5207735901472358,0.5079440133345678
155,0.0806057968330401,0.4571534401333457,0.07934067969256413,0.5148024817112695,0.12851514955088433
156,0.6159649967589591,0.7969441614964349,0.21390869524956016,0.47706824705991296,0.556696527456246
157,0.49591480692656725,0.21329752754884712,0.2139272154829151,0.4868634132790073,0.5171486063524401
158,0.5168482266876563,0.21422353921659412,0.21394573571627,0.4592547458097972,0.49276207056208915
159,0.49869987961848317,0.21487174738401704,0.21396425594962495,0.5026026483933698,0.5175681359385129
160,0.48006352440040745,0.010593573479025837,0.07935919992591907,0.44965107880359295,0.39578273914251316
161,0.23834651356607095,0.22546532086304288,0.07937772015927401,0.5114853227150662,0.2671029817575702
